date,avg_temp,wind_sp,rel_hum,max_temp,min_temp,atm_press,global_rad,total_col_vat_wap_kg
20240109,-11.2,1.5,84.0,-5.3, -11.7,0,232.499,2.0
20240210,12.2,3.4,65.0,13.5,3.7,0,299.228,9.2
20240320,6.5,1.3,66.0,13.1,-3.9,00,285.56,6.4
20240429,16.8,1.9,59.0,25.5,8.3,0,770.111,11.3
20240430,16.3,1.0,56.0,25.3,9.3,0,767.847,10.4
20240515,17.8,2.2,44.0,24.0,7.7,0,827.283,9.0
20240608,22.3,4.1,68.0,26.4,12.6,0,822.283,18.3
20240710,25.7,2.4,71.0,33.8,19.8,0,729.767,23.5
20240726,22.6,1.4,54.0,28.3,11.6,0,718.698,14.8
20240727,26.8,2.9,48.0,32.7,15.9,0,634.911,16.9
20240812,24.8,2.8,49.0,30.4,15.8,0,726.726,15.3
20240828,25.2,1.8,61.0,32.2,16.7,0,621.514,19.6
20240904,24.5,1.0,49.0,33.4,15.4,0,597.857,15.1
20240921,13.0,0.0,74.0,23.1,7.5,0,478.256,11.1
20241107,2.6,0.3,91.0,12.1,2.4,0,555.222,91.0
20240920,15.5,0.8,57.0,22.6,9.3,0,256.256,10.0













