sensing_date,pixel_value,pixel_binary,pixel_frequency,pixel_area_m2,pixel_area_%,cloud_conf,shadow_conf
20240608,21824,0101010101000000,114097,102687300.0,43.35,10,10
20240921,21824,0101010101000000,113428,102085200.0,43.1,10,10
20240413,21824,0101010101000000,86014,77412600.0,32.68,10,10
20240429,21824,0101010101000000,113018,101716200.0,42.94,10,10
20240329,21824,0101010101000000,112979,101681100.0,42.93,10,10
20240812,21824,0101010101000000,114060,102654000.0,43.34,10,10
20240210,21824,0101010101000000,110567,99510300.0,42.01,10,10
20240828,21824,0101010101000000,113823,102440700.0,43.25,10,10
20240726,21824,0101010101000000,114096,102686400.0,43.35,10,10
20240320,21824,0101010101000000,113575,102217500.0,43.15,10,10
20240109,21824,0101010101000000,70712,63640800.0,26.87,10,10
20241201,21824,0101010101000000,41507,37356300.0,15.77,10,10
20240515,21824,0101010101000000,114008,102607200.0,43.32,10,10
20240710,21824,0101010101000000,113821,102438900.0,43.25,10,10
20240430,21824,0101010101000000,114180,102762000.0,43.38,10,10
20240920,21824,0101010101000000,113197,101877300.0,43.01,10,10
20240727,21824,0101010101000000,113993,102593700.0,43.31,10,10
20241107,21824,0101010101000000,112448,101203200.0,42.72,10,10
20240904,21824,0101010101000000,114173,102755700.0,43.38,10,10
20240905,21824,0101010101000000,113826,102443400.0,43.25,10,10
20240608,21824,0101010101000000,114097,102687300.0,43.35,10,10
20240921,21824,0101010101000000,113428,102085200.0,43.1,10,10
20240413,21824,0101010101000000,86014,77412600.0,32.68,10,10
20240429,21824,0101010101000000,113018,101716200.0,42.94,10,10
20240329,21824,0101010101000000,112979,101681100.0,42.93,10,10
20240812,21824,0101010101000000,114060,102654000.0,43.34,10,10
20240210,21824,0101010101000000,110567,99510300.0,42.01,10,10
20240828,21824,0101010101000000,113823,102440700.0,43.25,10,10
20240726,21824,0101010101000000,114096,102686400.0,43.35,10,10
20240320,21824,0101010101000000,113575,102217500.0,43.15,10,10
20240109,21824,0101010101000000,70712,63640800.0,26.87,10,10
20241201,21824,0101010101000000,41507,37356300.0,15.77,10,10
20240515,21824,0101010101000000,114008,102607200.0,43.32,10,10
20240710,21824,0101010101000000,113821,102438900.0,43.25,10,10
20240430,21824,0101010101000000,114180,102762000.0,43.38,10,10
20240920,21824,0101010101000000,113197,101877300.0,43.01,10,10
20240727,21824,0101010101000000,113993,102593700.0,43.31,10,10
20241107,21824,0101010101000000,112448,101203200.0,42.72,10,10
20240904,21824,0101010101000000,114173,102755700.0,43.38,10,10
20240905,21824,0101010101000000,113826,102443400.0,43.25,10,10
